Hora,Potencia_KW,SOH_Pct,Capacity_kWh,SoC_Pct
71,0.0,60.00000000000001,23.28,75.0
72,0.0,60.00000000000001,23.28,75.0
73,0.0,60.00000000000001,23.28,75.0
74,0.0,60.00000000000001,23.28,75.0
75,0.0,60.00000000000001,23.28,75.0
76,0.0,60.00000000000001,23.28,75.0
77,0.0,60.00000000000001,23.28,75.0
78,0.0,60.00000000000001,23.28,75.0
79,0.0,60.00000000000001,23.28,75.0
80,0.0,60.00000000000001,23.28,75.0
81,0.0,60.00000000000001,23.28,75.0
82,1.455,60.00000000000001,23.28,81.25
83,1.455,60.00000000000001,23.28,87.5
84,1.455,60.00000000000001,23.28,93.75
85,1.455,60.00000000000001,23.28,100.0
86,0.0,60.00000000000001,23.28,100.0
87,0.0,60.00000000000001,23.28,100.0
88,0.0,60.00000000000001,23.28,100.0
89,0.0,60.00000000000001,23.28,100.0
90,-1.455,60.00000000000001,23.28,93.75
91,-1.455,60.00000000000001,23.28,87.5
92,-1.455,60.00000000000001,23.28,81.25
93,-1.455,60.00000000000001,23.28,75.0
94,0.0,60.00000000000001,23.28,75.0
95,0.0,60.00000000000001,23.28,75.0
96,0.0,60.00000000000001,23.28,75.0
97,0.0,60.00000000000001,23.28,75.0
98,0.0,60.00000000000001,23.28,75.0
99,0.0,60.00000000000001,23.28,75.0
100,0.0,60.00000000000001,23.28,75.0
101,0.0,60.00000000000001,23.28,75.0
102,0.0,60.00000000000001,23.28,75.0
103,0.0,60.00000000000001,23.28,75.0
104,0.0,60.00000000000001,23.28,75.0
105,0.0,60.00000000000001,23.28,75.0
106,1.455,60.00000000000001,23.28,81.25
107,1.455,60.00000000000001,23.28,87.5
108,1.455,60.00000000000001,23.28,93.75
109,1.455,59.997000000000014,23.278836000000002,100.0
110,0.0,59.997000000000014,23.278836000000002,100.0
111,0.0,59.997000000000014,23.278836000000002,100.0
112,0.0,59.997000000000014,23.278836000000002,100.0
113,0.0,59.997000000000014,23.278836000000002,100.0
114,-1.455,59.997000000000014,23.278836000000002,93.74968748437422
115,-1.455,59.997000000000014,23.278836000000002,87.49937496874844
116,-1.455,59.997000000000014,23.278836000000002,81.24906245312266
117,-1.455,59.997000000000014,23.278836000000002,74.99874993749688
118,0.0,59.997000000000014,23.278836000000002,74.99874993749688
119,0.0,59.997000000000014,23.278836000000002,74.99874993749688
120,0.0,59.997000000000014,23.278836000000002,74.99874993749688
121,0.0,59.997000000000014,23.278836000000002,74.99874993749688
122,0.0,59.997000000000014,23.278836000000002,74.99874993749688
123,0.0,59.997000000000014,23.278836000000002,74.99874993749688
124,0.0,59.997000000000014,23.278836000000002,74.99874993749688
125,0.0,59.997000000000014,23.278836000000002,74.99874993749688
126,0.0,59.997000000000014,23.278836000000002,74.99874993749688
127,0.0,59.997000000000014,23.278836000000002,74.99874993749688
128,0.0,59.997000000000014,23.278836000000002,74.99874993749688
129,0.0,59.997000000000014,23.278836000000002,74.99874993749688
130,1.455,59.997000000000014,23.278836000000002,81.24906245312266
131,1.455,59.997000000000014,23.278836000000002,87.49937496874844
132,1.455,59.997000000000014,23.278836000000002,93.74968748437422
133,1.455,59.997000000000014,23.278836000000002,100.0
134,0.0,59.997000000000014,23.278836000000002,100.0
135,0.0,59.997000000000014,23.278836000000002,100.0
136,0.0,59.997000000000014,23.278836000000002,100.0
137,0.0,59.997000000000014,23.278836000000002,100.0
138,-1.455,59.997000000000014,23.278836000000002,93.74968748437422
139,-1.455,59.997000000000014,23.278836000000002,87.49937496874844
140,-1.455,59.997000000000014,23.278836000000002,81.24906245312266
141,-1.455,59.997000000000014,23.278836000000002,74.99874993749688
142,0.0,59.997000000000014,23.278836000000002,74.99874993749688
143,0.0,59.997000000000014,23.278836000000002,74.99874993749688
144,0.0,59.997000000000014,23.278836000000002,74.99874993749688
145,0.0,59.997000000000014,23.278836000000002,74.99874993749688
146,0.0,59.997000000000014,23.278836000000002,74.99874993749688
147,0.0,59.997000000000014,23.278836000000002,74.99874993749688
148,0.0,59.997000000000014,23.278836000000002,74.99874993749688
149,0.0,59.997000000000014,23.278836000000002,74.99874993749688
150,0.0,59.997000000000014,23.278836000000002,74.99874993749688
151,0.0,59.997000000000014,23.278836000000002,74.99874993749688
152,0.0,59.997000000000014,23.278836000000002,74.99874993749688
