Hora,Potencia_KW,SOH_Pct,Capacity_kWh,SoC_Pct
64,0.0,60.00000000000001,23.28,100.0
65,0.0,60.00000000000001,23.28,100.0
66,-10.0,59.96778350515465,23.267500000000002,57.044673539518904
67,0.0,59.96778350515465,23.267500000000002,57.044673539518904
68,0.0,59.96778350515465,23.267500000000002,57.044673539518904
69,0.0,59.96778350515465,23.267500000000002,57.044673539518904
70,0.0,59.96778350515465,23.267500000000002,57.044673539518904
71,0.0,59.96778350515465,23.267500000000002,57.044673539518904
72,0.0,59.96778350515465,23.267500000000002,57.044673539518904
73,0.0,59.96778350515465,23.267500000000002,57.044673539518904
74,0.0,59.96778350515465,23.267500000000002,57.044673539518904
75,0.0,59.96778350515465,23.267500000000002,57.044673539518904
76,0.0,59.96778350515465,23.267500000000002,57.044673539518904
77,0.0,59.96778350515465,23.267500000000002,57.044673539518904
78,0.0,59.96778350515465,23.267500000000002,57.044673539518904
79,0.0,59.96778350515465,23.267500000000002,57.044673539518904
80,0.0,59.96778350515465,23.267500000000002,57.044673539518904
81,0.0,59.96778350515465,23.267500000000002,57.044673539518904
82,2.0,59.96778350515465,23.267500000000002,65.640354209982
83,2.0,59.96778350515465,23.267500000000002,74.23603488044509
84,2.0,59.96778350515465,23.267500000000002,82.83171555090819
85,2.0,59.96778350515465,23.267500000000002,91.42739622137128
86,2.0,59.96778350515465,23.267500000000002,100.0
87,0.0,59.96778350515465,23.267500000000002,100.0
88,0.0,59.96778350515465,23.267500000000002,100.0
89,0.0,59.96778350515465,23.267500000000002,100.0
90,-10.0,59.96778350515465,23.267500000000002,57.02159664768454
91,0.0,59.96778350515465,23.267500000000002,57.02159664768454
92,0.0,59.96778350515465,23.267500000000002,57.02159664768454
93,0.0,59.96778350515465,23.267500000000002,57.02159664768454
94,0.0,59.96778350515465,23.267500000000002,57.02159664768454
95,0.0,59.96778350515465,23.267500000000002,57.02159664768454
96,0.0,59.96778350515465,23.267500000000002,57.02159664768454
97,0.0,59.96778350515465,23.267500000000002,57.02159664768454
98,0.0,59.96778350515465,23.267500000000002,57.02159664768454
99,0.0,59.96778350515465,23.267500000000002,57.02159664768454
100,0.0,59.96778350515465,23.267500000000002,57.02159664768454
101,0.0,59.96778350515465,23.267500000000002,57.02159664768454
102,0.0,59.96778350515465,23.267500000000002,57.02159664768454
103,0.0,59.96778350515465,23.267500000000002,57.02159664768454
104,0.0,59.96778350515465,23.267500000000002,57.02159664768454
105,0.0,59.96778350515465,23.267500000000002,57.02159664768454
106,2.0,59.96778350515465,23.267500000000002,65.61727731814763
107,2.0,59.96778350515465,23.267500000000002,74.21295798861073
108,2.0,59.96778350515465,23.267500000000002,82.80863865907382
109,2.0,59.96778350515465,23.267500000000002,91.40431932953692
110,2.0,59.96778350515465,23.267500000000002,100.0
111,0.0,59.96778350515465,23.267500000000002,100.0
112,0.0,59.96778350515465,23.267500000000002,100.0
113,0.0,59.96778350515465,23.267500000000002,100.0
114,-10.0,59.96778350515465,23.267500000000002,57.02159664768454
115,0.0,59.96778350515465,23.267500000000002,57.02159664768454
116,0.0,59.96778350515465,23.267500000000002,57.02159664768454
117,0.0,59.96778350515465,23.267500000000002,57.02159664768454
118,0.0,59.96778350515465,23.267500000000002,57.02159664768454
119,0.0,59.96778350515465,23.267500000000002,57.02159664768454
120,0.0,59.96778350515465,23.267500000000002,57.02159664768454
121,0.0,59.96778350515465,23.267500000000002,57.02159664768454
122,0.0,59.96778350515465,23.267500000000002,57.02159664768454
123,0.0,59.96778350515465,23.267500000000002,57.02159664768454
124,0.0,59.96778350515465,23.267500000000002,57.02159664768454
125,0.0,59.96778350515465,23.267500000000002,57.02159664768454
126,0.0,59.96778350515465,23.267500000000002,57.02159664768454
127,0.0,59.96778350515465,23.267500000000002,57.02159664768454
128,0.0,59.96778350515465,23.267500000000002,57.02159664768454
129,0.0,59.96778350515465,23.267500000000002,57.02159664768454
130,2.0,59.96778350515465,23.267500000000002,65.61727731814763
131,2.0,59.937201264096764,23.25563409046954,74.21295798861073
132,2.0,59.937201264096764,23.25563409046954,82.81302450246952
133,2.0,59.937201264096764,23.25563409046954,91.41309101632831
134,2.0,59.937201264096764,23.25563409046954,100.0
135,0.0,59.937201264096764,23.25563409046954,100.0
136,0.0,59.937201264096764,23.25563409046954,100.0
