Hora,Corrente_A,SOH_Pct,Capacity_Ah,SoC_Pct
2355,25.0,66.35489283125047,66.35489283125047,100.0
2356,25.0,66.35489283125047,66.35489283125047,100.0
2357,25.0,66.35489283125047,66.35489283125047,100.0
2358,25.0,66.35489283125047,66.35489283125047,100.0
2359,25.0,66.35489283125047,66.35489283125047,100.0
2360,-25.0,66.35489283125047,66.35489283125047,62.3238032143637
2361,-25.0,66.35489283125047,66.35489283125047,24.6476064287274
2362,-25.0,66.35489283125047,66.35489283125047,0.0
2363,-25.0,66.35489283125047,66.35489283125047,0.0
2364,-25.0,66.35489283125047,66.35489283125047,0.0
2365,-25.0,66.35489283125047,66.35489283125047,0.0
2366,-25.0,66.35489283125047,66.35489283125047,0.0
2367,-25.0,66.35489283125047,66.35489283125047,0.0
2368,-25.0,66.35489283125047,66.35489283125047,0.0
2369,-25.0,66.35489283125047,66.35489283125047,0.0
2370,-25.0,66.35489283125047,66.35489283125047,0.0
2371,-25.0,66.35489283125047,66.35489283125047,0.0
2372,25.0,66.35489283125047,66.35489283125047,37.6761967856363
2373,25.0,66.35489283125047,66.35489283125047,75.3523935712726
2374,25.0,66.23489283125046,66.23489283125046,100.0
2375,25.0,66.23489283125046,66.23489283125046,100.0
2376,25.0,66.23489283125046,66.23489283125046,100.0
2377,25.0,66.23489283125046,66.23489283125046,100.0
2378,25.0,66.23489283125046,66.23489283125046,100.0
2379,25.0,66.23489283125046,66.23489283125046,100.0
2380,25.0,66.23489283125046,66.23489283125046,100.0
2381,25.0,66.23489283125046,66.23489283125046,100.0
2382,25.0,66.23489283125046,66.23489283125046,100.0
2383,25.0,66.23489283125046,66.23489283125046,100.0
2384,-25.0,66.23489283125046,66.23489283125046,62.25554397182525
2385,-25.0,66.23489283125046,66.23489283125046,24.511087943650494
2386,-25.0,66.23489283125046,66.23489283125046,0.0
2387,-25.0,66.23489283125046,66.23489283125046,0.0
2388,-25.0,66.23489283125046,66.23489283125046,0.0
2389,-25.0,66.23489283125046,66.23489283125046,0.0
2390,-25.0,66.23489283125046,66.23489283125046,0.0
2391,-25.0,66.23489283125046,66.23489283125046,0.0
2392,-25.0,66.23489283125046,66.23489283125046,0.0
2393,-25.0,66.23489283125046,66.23489283125046,0.0
2394,-25.0,66.23489283125046,66.23489283125046,0.0
2395,-25.0,66.23489283125046,66.23489283125046,0.0
2396,25.0,66.23489283125046,66.23489283125046,37.74445602817475
2397,25.0,66.23489283125046,66.23489283125046,75.4889120563495
2398,25.0,66.11489283125046,66.11489283125046,100.0
2399,25.0,66.11489283125046,66.11489283125046,100.0
2400,25.0,66.11489283125046,66.11489283125046,100.0
2401,25.0,66.11489283125046,66.11489283125046,100.0
2402,25.0,66.11489283125046,66.11489283125046,100.0
2403,25.0,66.11489283125046,66.11489283125046,100.0
2404,25.0,66.11489283125046,66.11489283125046,100.0
2405,25.0,66.11489283125046,66.11489283125046,100.0
2406,25.0,66.11489283125046,66.11489283125046,100.0
2407,25.0,66.11489283125046,66.11489283125046,100.0
2408,-25.0,66.11489283125046,66.11489283125046,62.18703694520204
2409,-25.0,66.11489283125046,66.11489283125046,24.374073890404077
2410,-25.0,66.11489283125046,66.11489283125046,0.0
2411,-25.0,66.11489283125046,66.11489283125046,0.0
2412,-25.0,66.11489283125046,66.11489283125046,0.0
2413,-25.0,66.11489283125046,66.11489283125046,0.0
2414,-25.0,66.11489283125046,66.11489283125046,0.0
2415,-25.0,66.11489283125046,66.11489283125046,0.0
2416,-25.0,66.11489283125046,66.11489283125046,0.0
2417,-25.0,66.11489283125046,66.11489283125046,0.0
2418,-25.0,66.11489283125046,66.11489283125046,0.0
2419,-25.0,66.11489283125046,66.11489283125046,0.0
2420,25.0,66.11489283125046,66.11489283125046,37.81296305479796
2421,25.0,66.11489283125046,66.11489283125046,75.62592610959592
2422,25.0,65.99489283125045,65.99489283125045,100.0
2423,25.0,65.99489283125045,65.99489283125045,100.0
2424,25.0,65.99489283125045,65.99489283125045,100.0
2425,25.0,65.99489283125045,65.99489283125045,100.0
2426,25.0,65.99489283125045,65.99489283125045,100.0
2427,25.0,65.99489283125045,65.99489283125045,100.0
2428,25.0,65.99489283125045,65.99489283125045,100.0
2429,25.0,65.99489283125045,65.99489283125045,100.0
2430,25.0,65.99489283125045,65.99489283125045,100.0
2431,25.0,65.99489283125045,65.99489283125045,100.0
2432,-25.0,65.99489283125045,65.99489283125045,62.118280782839925
2433,-25.0,65.99489283125045,65.99489283125045,24.23656156567985
2434,-25.0,65.99489283125045,65.99489283125045,0.0
2435,-25.0,65.99489283125045,65.99489283125045,0.0
2436,-25.0,65.99489283125045,65.99489283125045,0.0
2437,-25.0,65.99489283125045,65.99489283125045,0.0
2438,-25.0,65.99489283125045,65.99489283125045,0.0
2439,-25.0,65.99489283125045,65.99489283125045,0.0
2440,-25.0,65.99489283125045,65.99489283125045,0.0
2441,-25.0,65.99489283125045,65.99489283125045,0.0
2442,-25.0,65.99489283125045,65.99489283125045,0.0
2443,-25.0,65.99489283125045,65.99489283125045,0.0
2444,25.0,65.99489283125045,65.99489283125045,37.881719217160075
2445,25.0,65.99489283125045,65.99489283125045,75.76343843432015
2446,25.0,65.87489283125045,65.87489283125045,100.0
2447,25.0,65.87489283125045,65.87489283125045,100.0
2448,25.0,65.87489283125045,65.87489283125045,100.0
2449,25.0,65.87489283125045,65.87489283125045,100.0
2450,25.0,65.87489283125045,65.87489283125045,100.0
2451,25.0,65.87489283125045,65.87489283125045,100.0
2452,25.0,65.87489283125045,65.87489283125045,100.0
2453,25.0,65.87489283125045,65.87489283125045,100.0
2454,25.0,65.87489283125045,65.87489283125045,100.0
2455,25.0,65.87489283125045,65.87489283125045,100.0
2456,-25.0,65.87489283125045,65.87489283125045,62.049274123235875
2457,-25.0,65.87489283125045,65.87489283125045,24.09854824647175
2458,-25.0,65.87489283125045,65.87489283125045,0.0
2459,-25.0,65.87489283125045,65.87489283125045,0.0
2460,-25.0,65.87489283125045,65.87489283125045,0.0
2461,-25.0,65.87489283125045,65.87489283125045,0.0
2462,-25.0,65.87489283125045,65.87489283125045,0.0
2463,-25.0,65.87489283125045,65.87489283125045,0.0
2464,-25.0,65.87489283125045,65.87489283125045,0.0
2465,-25.0,65.87489283125045,65.87489283125045,0.0
2466,-25.0,65.87489283125045,65.87489283125045,0.0
2467,-25.0,65.87489283125045,65.87489283125045,0.0
2468,25.0,65.87489283125045,65.87489283125045,37.950725876764125
2469,25.0,65.87489283125045,65.87489283125045,75.90145175352825
2470,25.0,65.75489283125044,65.75489283125044,100.0
2471,25.0,65.75489283125044,65.75489283125044,100.0
2472,25.0,65.75489283125044,65.75489283125044,100.0
2473,25.0,65.75489283125044,65.75489283125044,100.0
2474,25.0,65.75489283125044,65.75489283125044,100.0
2475,25.0,65.75489283125044,65.75489283125044,100.0
2476,25.0,65.75489283125044,65.75489283125044,100.0
2477,25.0,65.75489283125044,65.75489283125044,100.0
2478,25.0,65.75489283125044,65.75489283125044,100.0
2479,25.0,65.75489283125044,65.75489283125044,100.0
2480,-25.0,65.75489283125044,65.75489283125044,61.980015594948114
2481,-25.0,65.75489283125044,65.75489283125044,23.960031189896227
2482,-25.0,65.75489283125044,65.75489283125044,0.0
2483,-25.0,65.75489283125044,65.75489283125044,0.0
2484,-25.0,65.75489283125044,65.75489283125044,0.0
2485,-25.0,65.75489283125044,65.75489283125044,0.0
2486,-25.0,65.75489283125044,65.75489283125044,0.0
2487,-25.0,65.75489283125044,65.75489283125044,0.0
2488,-25.0,65.75489283125044,65.75489283125044,0.0
2489,-25.0,65.75489283125044,65.75489283125044,0.0
2490,-25.0,65.75489283125044,65.75489283125044,0.0
2491,-25.0,65.75489283125044,65.75489283125044,0.0
2492,25.0,65.75489283125044,65.75489283125044,38.019984405051886
2493,25.0,65.75489283125044,65.75489283125044,76.03996881010377
2494,25.0,65.63489283125044,65.63489283125044,100.0
2495,25.0,65.63489283125044,65.63489283125044,100.0
2496,25.0,65.63489283125044,65.63489283125044,100.0
2497,25.0,65.63489283125044,65.63489283125044,100.0
2498,25.0,65.63489283125044,65.63489283125044,100.0
2499,25.0,65.63489283125044,65.63489283125044,100.0
2500,25.0,65.63489283125044,65.63489283125044,100.0
2501,25.0,65.63489283125044,65.63489283125044,100.0
2502,25.0,65.63489283125044,65.63489283125044,100.0
2503,25.0,65.63489283125044,65.63489283125044,100.0
2504,-25.0,65.63489283125044,65.63489283125044,61.910503816505255
2505,-25.0,65.63489283125044,65.63489283125044,23.82100763301051
2506,-25.0,65.63489283125044,65.63489283125044,0.0
2507,-25.0,65.63489283125044,65.63489283125044,0.0
2508,-25.0,65.63489283125044,65.63489283125044,0.0
2509,-25.0,65.63489283125044,65.63489283125044,0.0
2510,-25.0,65.63489283125044,65.63489283125044,0.0
2511,-25.0,65.63489283125044,65.63489283125044,0.0
2512,-25.0,65.63489283125044,65.63489283125044,0.0
2513,-25.0,65.63489283125044,65.63489283125044,0.0
2514,-25.0,65.63489283125044,65.63489283125044,0.0
2515,-25.0,65.63489283125044,65.63489283125044,0.0
2516,25.0,65.63489283125044,65.63489283125044,38.089496183494745
2517,25.0,65.63489283125044,65.63489283125044,76.17899236698949
2518,25.0,65.51489283125044,65.51489283125044,100.0
2519,25.0,65.51489283125044,65.51489283125044,100.0
2520,25.0,65.51489283125044,65.51489283125044,100.0
2521,25.0,65.51489283125044,65.51489283125044,100.0
2522,25.0,65.51489283125044,65.51489283125044,100.0
2523,25.0,65.51489283125044,65.51489283125044,100.0
2524,25.0,65.51489283125044,65.51489283125044,100.0
2525,25.0,65.51489283125044,65.51489283125044,100.0
2526,25.0,65.51489283125044,65.51489283125044,100.0
2527,25.0,65.51489283125044,65.51489283125044,100.0
2528,-25.0,65.51489283125044,65.51489283125044,61.84073739631447
2529,-25.0,65.51489283125044,65.51489283125044,23.681474792628947
2530,-25.0,65.51489283125044,65.51489283125044,0.0
2531,-25.0,65.51489283125044,65.51489283125044,0.0
2532,-25.0,65.51489283125044,65.51489283125044,0.0
2533,-25.0,65.51489283125044,65.51489283125044,0.0
2534,-25.0,65.51489283125044,65.51489283125044,0.0
2535,-25.0,65.51489283125044,65.51489283125044,0.0
2536,-25.0,65.51489283125044,65.51489283125044,0.0
2537,-25.0,65.51489283125044,65.51489283125044,0.0
2538,-25.0,65.51489283125044,65.51489283125044,0.0
2539,-25.0,65.51489283125044,65.51489283125044,0.0
2540,25.0,65.51489283125044,65.51489283125044,38.15926260368553
2541,25.0,65.51489283125044,65.51489283125044,76.31852520737105
2542,25.0,65.39489283125043,65.39489283125043,100.0
